Title,Year,Genre,Origin,Director,Star
The Shawshank Redemption,1994,Drama,USA,Frank Darabont,Tim Robbins
The Godfather,1972,Drama,USA,Francis Ford Coppola,Marlon Brando
The Godfather: Part II,1974,Drama,USA,Francis Ford Coppola,Al Pacino
The Dark Knight,2008,Drama,USA,Christopher Nolan,Christian Bale
12 Angry Men,1957,Drama,USA,Sidney Lumet,Henry Fonda
Schindler's List,1993,Drama,USA,Steven Spielberg,Liam Neeson
The Lord of the Rings: The Return of the King,2003,Fantasy,USA,Peter Jackson,Elijah Wood
Pulp Fiction,1994,Drama,USA,Quentin Tarantino,John Travolta
"Il buono, il brutto, il cattivo",1966,Western,West Germany,Sergio Leone,Clint Eastwood
Fight Club,1999,Drama,USA,David Fincher,Brad Pitt
The Lord of the Rings: The Fellowship of the Ring,2001,Fantasy,USA,Peter Jackson,Elijah Wood
Forrest Gump,1994,Drama,USA,Robert Zemeckis,Tom Hanks
Star Wars: Episode V - The Empire Strikes Back,1980,Fantasy,USA,Irvin Kershner,Mark Hamill
Inception,2010,Adventure,USA,Christopher Nolan,Leonardo DiCaprio
The Lord of the Rings: The Two Towers,2002,Fantasy,USA,Peter Jackson,Elijah Wood
One Flew Over the Cuckoo's Nest,1975,Drama,USA,Milos Forman,Jack Nicholson
Goodfellas,1990,Drama,USA,Martin Scorsese,Robert De Niro
The Matrix,1999,Action,USA,Lana Wachowski,Keanu Reeves
Shichinin no samurai,1954,Drama,Japan,Akira Kurosawa,Toshirô Mifune
Cidade de Deus,2002,Drama,Brazil,Fernando Meirelles,Alexandre Rodrigues
Se7en,1995,Drama,USA,David Fincher,Morgan Freeman
Star Wars,1977,Fantasy,USA,George Lucas,Mark Hamill
The Silence of the Lambs,1991,Thriller,USA,Jonathan Demme,Jodie Foster
It's a Wonderful Life,1946,Drama,USA,Frank Capra,James Stewart
La vita è bella,1997,War,Italy,Roberto Benigni,Roberto Benigni
The Usual Suspects,1995,Thriller,USA,Bryan Singer,Kevin Spacey
Sen to Chihiro no kamikakushi,2001,Adventure,Japan,Hayao Miyazaki,Daveigh Chase
Saving Private Ryan,1998,Drama,USA,Steven Spielberg,Tom Hanks
Léon,1994,Drama,France,Luc Besson,Jean Reno
Spider-Man: Into the Spider-Verse,2018,Comedy,USA,Bob Persichetti,Shameik Moore
The Green Mile,1999,Drama,USA,Frank Darabont,Tom Hanks
Interstellar,2014,Drama,USA,Christopher Nolan,Matthew McConaughey
Psycho,1960,Thriller,USA,Alfred Hitchcock,Anthony Perkins
American History X,1998,Drama,USA,Tony Kaye,Edward Norton
City Lights,1931,Drama,USA,Charles Chaplin,Charles Chaplin
C'era una volta il West,1968,Western,Italy,Sergio Leone,Henry Fonda
Casablanca,1942,War,USA,Michael Curtiz,Humphrey Bogart
Modern Times,1936,Drama,USA,Charles Chaplin,Charles Chaplin
The Pianist,2002,Drama,France,Roman Polanski,Adrien Brody
Intouchables,2011,Drama,France,Olivier Nakache,François Cluzet
The Departed,2006,Drama,Hong Kong,Martin Scorsese,Leonardo DiCaprio
Terminator 2: Judgment Day,1991,Action,France,James Cameron,Arnold Schwarzenegger
Back to the Future,1985,Comedy,USA,Robert Zemeckis,Michael J. Fox
Whiplash,2014,Drama,USA,Damien Chazelle,Miles Teller
